,Species,Opsin_Family,Accession,Lambda_Max,Prediction,Difference
S470,Oryzias_minutillus,Rh2,LC260058,517.0,514.9524612389973,-2.04753876100267
S176,"Gekko,Anolis_gekko,carolinensis",Rh2,AH007735.2_1_105-M92035.1_106_139-AH007735.2_140_149-M92035.1_150_172-AH007735.2_173_348,492.0,487.5182517750345,-4.481748224965486
S6,Sargocentron_diadema,Rh1,U57537.1,491.0,492.60362790727487,1.6036279072748698
S717,Chrysochroa_mniszechii,IV-UVS,OP722933.1,442.0,433.58668788138556,-8.413312118614442
S755,Bos_taurus,SWS1,U92557.1_Y86F,367.0,393.2261964384173,26.226196438417276
S674,Mus_musculus,UVS,NP_031564.1_F46T,359.0,358.7881740038959,-0.21182599610409625
S809,Saimiri_sciureus,LWS,AH006281_F232I_G236S,559.0,555.875471774683,-3.1245282253170217
S770,Anisota_stigma,IV-LWS,OK930068.1,537.0,532.0310024730792,-4.968997526920816
S472,Oryzias_latipes,Rh2,AB223054_I95L_T96N_E122Q_V123I_I205M_V209C_F213C_G269A,493.0,494.09858658631117,1.0985865863111712
S95,Lepidopus_fitchi,Rh1,EU407253.1,486.0,485.888878396355,-0.11112160364501733
S220,Bos_taurus,Rh1,NM_001014890_E181W,502.0,498.1098898097202,-3.890110190279813
S188,Danio_rerio,Rh2,AB087805.2_I49C,463.0,465.9497672679604,2.9497672679603966
S861,Drosophila_melanogaster,IV-RH,AY060299,350.0,403.44008621571777,53.44008621571777
S802,Saimiri_sciureus,LWS,AH006282,545.0,544.0565519006205,-0.9434480993794523
S454,Oryzias_latipes,Rh2,AB223053,452.0,450.7153762146533,-1.284623785346696
S858,Drosophila_melanogaster,IV,NM_079687.3_K110E,421.0,385.6534692354554,-35.34653076454458
S729,lwsanc_pigmentb_sp.,LWS,lwsanc_pigmentb,563.0,559.4380434330137,-3.5619565669862823
S44,Bos_taurus,Rh1,NM_001014890_D83G,501.5,498.43359625395544,-3.066403746044557
S295,Gallus_gallus,Rh1,D00702,503.0,503.27101156935413,0.27101156935412973
S255,Papilio_xuthus,"Rh1,Rh3",AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_379,547.0,554.0616974573603,7.06169745736031
S64,Xenotilapia_papilio,Rh1,AB457996.1,497.0,496.5010674304647,-0.4989325695353273
S1,Neoniphon_sammara,Rh1,U57536.1,502.0,496.1707659262013,-5.829234073798716
S563,AncClupeoc_sp.,Rh2,AncClupeoc,491.0,491.73123551636695,0.7312355163669508
S452,Danaus_plexippus,IV-Rh1,AY605544,439.0,437.9017001595994,-1.098299840400614
S693,Mus_musculus,UVS,"NP_031564.1_A114G,S118T",363.0,367.11212065458864,4.112120654588637
S684,Mus_musculus,UVS,NP_031564.1_H100N,359.0,360.3326229923366,1.33262299233661
S790,Xenopus_laevis,SWS1,NM_001085652.1_G116A,429.0,404.4529676294034,-24.547032370596582
S344,Eumaeus_atala,UVRh,MN831884.1,352.0,358.3253695663272,6.325369566327197
S835,Anolis_carolinensis,SWS2,AF133907_I46F_V49I_G164A_A269T,444.0,445.75635413143385,1.7563541314338522
S71,Oreochromis_niloticus,Rh1,AB084938_A292S,491.0,491.97546358103017,0.9754635810301693
S836,Carassius_auratus,SWS2,L11864_A269S,448.0,442.362657264629,-5.637342735371021
S39,Xenotilapia_ochrogenys,Rh1,AB084947.1,503.0,501.8658723102448,-1.1341276897551893
